,Product Link,Product Name,Prices,Description,Reviews,Ratings
57,https://www.flipkart.com/realme-p1-speed-5g-textured-titanium-256-gb/p/itm043baaa17426f?pid=MOBH4TV9HHCD5RKF&lid=LSTMOBH4TV9HHCD5RKFR3C0DZ&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_82&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBH4TV9HHCD5RKF.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"realme P1 Speed 5G (Textured Titanium, 256 GB)","₹16,980","12 GB RAM | 256 GB ROM | Expandable Upto 2 TB, 16.94 cm (6.67 inch) Full HD+ Display, 50MP + 2MP | 16MP Front Camera, 5000 mAh Battery, Dimensity 7300 Energy Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",553 Ratings & 47 Reviews,4.4
58,https://www.flipkart.com/iqoo-z10x-5g-ultramarine-256-gb/p/itmfddcdf7717452?pid=MOBHBGRZY6FCYTPS&lid=LSTMOBHBGRZY6FCYTPS8KXGOX&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_83&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBHBGRZY6FCYTPS.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"IQOO Z10X 5G (Ultramarine, 256 GB)","₹18,365","8 GB RAM | 256 GB ROM, 17.02 cm (6.7 inch) Display, 50MP Rear Camera, 6500 mAh Battery, 1 Year on Handset and 6 Months on Accessories",21 Ratings & 1 Reviews,4.2
59,https://www.flipkart.com/redmi-note-14-5g-mystique-white-128-gb/p/itm721548515fde2?pid=MOBH78KTV8NBYHTH&lid=LSTMOBH78KTV8NBYHTHYIT1FM&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_84&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBH78KTV8NBYHTH.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"REDMI Note 14 5G (Mystique White, 128 GB)","₹18,900","8 GB RAM | 128 GB ROM, 16.94 cm (6.67 inch) Display, 50MP Rear Camera, 5110 mAh Battery, 1 Year",753 Ratings & 58 Reviews,4.2
60,https://www.flipkart.com/realme-p1-speed-5g-brushed-blue-256-gb/p/itm043baaa17426f?pid=MOBH4TV9JWREYGSG&lid=LSTMOBH4TV9JWREYGSGV6LDBN&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_85&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBH4TV9JWREYGSG.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"realme P1 Speed 5G (Brushed Blue, 256 GB)","₹16,985","12 GB RAM | 256 GB ROM | Expandable Upto 2 TB, 16.94 cm (6.67 inch) Full HD+ Display, 50MP + 2MP | 16MP Front Camera, 5000 mAh Battery, Dimensity 7300 Energy Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",553 Ratings & 47 Reviews,4.4
61,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZSKDCXZ&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_86&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,996","8 GB RAM | 128 GB ROM, 17.07 cm (6.72 inch) Display, 108MP Rear Camera, 5000 mAh Battery, Domestic Warranty of 12 months on phone & 6 months on accessories","1,68,314 Ratings & 8,564 Reviews",4.4
62,https://www.flipkart.com/samsung-galaxy-f34-5g-electric-black-128-gb/p/itm93937010ed48d?pid=MOBGRZMYJM3KFVE3&lid=LSTMOBGRZMYJM3KFVE3HHUCHC&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_87&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBGRZMYJM3KFVE3.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹18,999","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) Full HD+ Display, 50MP (OIS) + 8MP + 2MP | 13MP Front Camera, 6000 mAh Battery, Exynos 1280 Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories","15,979 Ratings & 1,170 Reviews",4.2
63,https://www.flipkart.com/realme-narzo-70-pro-5g-green-glass-green-128-gb/p/itm2742a62e69f5a?pid=MOBGZ5M4BFG2M8H5&lid=LSTMOBGZ5M4BFG2M8H54RZIND&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_88&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBGZ5M4BFG2M8H5.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"realme Narzo 70 Pro 5G (Green, Glass Green, 128 GB)","₹19,195","8 GB RAM | 128 GB ROM, 16.94 cm (6.67 inch) Display, 50MP Rear Camera, 5000 mAh Battery, 1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories","5,795 Ratings & 378 Reviews",4.4
64,https://www.flipkart.com/redmi-note-14-5g-ivy-green-128-gb/p/itm721548515fde2?pid=MOBH9FKYHFTF6C6B&lid=LSTMOBH9FKYHFTF6C6BFJHDL7&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_89&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBH9FKYHFTF6C6B.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"REDMI Note 14 5G (Ivy Green, 128 GB)","₹17,978","8 GB RAM | 128 GB ROM, 16.94 cm (6.67 inch) Display, 50MP Rear Camera, 5110 mAh Battery, 1 Year",753 Ratings & 58 Reviews,4.2
65,https://www.flipkart.com/realme-13-5g-speed-green-256-gb/p/itmf151d3f071377?pid=MOBH3QWH4ZHXKBAX&lid=LSTMOBH3QWH4ZHXKBAX3KPMOW&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_90&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBH3QWH4ZHXKBAX.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"realme 13 5G (Speed Green, 256 GB)","₹19,999","8 GB RAM | 256 GB ROM | Expandable Upto 2 TB, 17.07 cm (6.72 inch) Full HD+ Display, 50MP + 2MP | 16MP Front Camera, 5000 mAh Battery, Dimensity 6300 Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","1,075 Ratings & 52 Reviews",4.3
66,https://www.flipkart.com/oppo-a3-pro-5g-starry-black-128-gb/p/itmc5f69a7aac2a1?pid=MOBHFHC533BWE2FA&lid=LSTMOBHFHC533BWE2FAC9NBYN&marketplace=FLIPKART&q=mobiles+under+20000+rupees&store=tyy%2F4io&srno=s_4_91&otracker=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_19_na_na_na&fm=organic&iid=930d2203-79e4-4bbb-9c6d-56c4210bdaf8.MOBHFHC533BWE2FA.SEARCH&ppt=None&ppn=None&ssid=ufm3321kcg0000001746867510782&qH=d176de24c4511b16,"OPPO A3 Pro 5G (Starry Black, 128 GB)","₹16,999","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 16.94 cm (6.67 inch) Display, 50MP + 2MP | 8MP Front Camera, 5100 mAh Battery, Dimensity 6300 5G Mobile Platform Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","2,161 Ratings & 94 Reviews",4.3
